,Age,Probability
0,18,37
1,19,37
2,20,38
3,21,40
4,22,37
5,23,37
6,24,40
7,25,39
8,26,36
9,27,38
10,28,35
11,29,35
12,30,35
13,31,31
14,32,30
15,33,31
16,34,30
17,35,31
18,36,27
19,37,25
20,38,29
21,39,25
22,40,24
23,41,20
24,42,21
25,43,21
26,44,17
27,45,18
28,45,15
29,46,16
30,47,15
31,48,19
32,49,15
33,50,13
34,51,16
35,52,12
36,53,15
37,54,10
38,55,11
39,56,14
40,57,14
41,58,13
42,59,12
43,60,11
44,61,9
45,62,10
46,63,10
47,64,13
48,65,11
49,66,7
50,67,11
51,68,9
52,69,8
53,70,10
54,71,11
55,72,10
56,73,6
57,74,7
58,75,8
