,Age,Probability
0,18,41
1,19,39
2,20,42
3,21,44
4,22,39
5,23,39
6,24,45
7,25,42
8,26,38
9,27,41
10,28,38
11,29,38
12,30,40
13,31,33
14,32,33
15,33,36
16,34,34
17,35,38
18,36,34
19,37,32
20,38,40
21,39,34
22,40,34
23,41,29
24,42,31
25,43,32
26,44,28
27,45,32
28,45,16
29,46,16
30,47,15
31,48,20
32,49,15
33,50,13
34,51,16
35,52,12
36,53,14
37,54,9
38,55,10
39,56,12
40,57,13
41,58,11
42,59,10
43,60,9
44,61,7
45,62,8
46,63,8
47,64,10
48,65,8
49,66,3
50,67,7
51,68,5
52,69,4
53,70,6
54,71,7
55,72,6
56,73,2
57,74,2
58,75,3
